Vardas           Pavarde           ND1  ND2  ND3  ND4  ND5  Egz.
VardasNR1        PavardeNR1         7    5    7    1    1    6    
VardasNR2        PavardeNR2         10   10   4    10   1    7    
VardasNR3        PavardeNR3         3    4    10   10   6    4    
VardasNR4        PavardeNR4         2    8    7    4    10   6    
VardasNR5        PavardeNR5         10   8    3    2    5    6    
VardasNR6        PavardeNR6         6    7    3    7    3    9    
VardasNR7        PavardeNR7         4    1    4    7    6    7    
VardasNR8        PavardeNR8         8    1    1    9    9    7    
VardasNR9        PavardeNR9         9    5    9    7    2    9    
VardasNR10       PavardeNR10        7    6    10   5    7    5    
VardasNR11       PavardeNR11        9    1    7    6    5    8    
VardasNR12       PavardeNR12        4    5    7    1    8    8    
VardasNR13       PavardeNR13        1    7    8    6    10   2    
VardasNR14       PavardeNR14        6    5    1    9    10   4    
VardasNR15       PavardeNR15        4    3    7    2    9    5    
VardasNR16       PavardeNR16        3    8    1    8    2    8    
VardasNR17       PavardeNR17        10   3    3    7    9    4    
VardasNR18       PavardeNR18        4    10   2    8    7    1    
VardasNR19       PavardeNR19        3    2    9    9    7    9    
VardasNR20       PavardeNR20        8    2    9    1    6    9    
VardasNR21       PavardeNR21        2    7    9    10   8    5    
VardasNR22       PavardeNR22        6    4    1    10   8    4    
VardasNR23       PavardeNR23        8    7    5    6    1    5    
VardasNR24       PavardeNR24        10   9    1    7    9    10   
VardasNR25       PavardeNR25        5    9    3    10   8    1    
VardasNR26       PavardeNR26        4    3    4    5    3    1    
VardasNR27       PavardeNR27        7    7    9    9    10   6    
VardasNR28       PavardeNR28        7    4    2    7    4    1    
VardasNR29       PavardeNR29        7    6    4    1    6    10   
VardasNR30       PavardeNR30        2    5    7    6    9    8    
VardasNR31       PavardeNR31        6    2    6    5    2    2    
VardasNR32       PavardeNR32        7    6    10   8    5    5    
VardasNR33       PavardeNR33        8    6    5    7    4    8    
VardasNR34       PavardeNR34        3    9    7    3    3    6    
VardasNR35       PavardeNR35        2    10   6    1    6    2    
VardasNR36       PavardeNR36        1    5    4    4    4    8    
VardasNR37       PavardeNR37        4    4    6    1    9    4    
VardasNR38       PavardeNR38        3    9    4    6    6    5    
VardasNR39       PavardeNR39        7    9    8    9    5    4    
VardasNR40       PavardeNR40        5    1    8    7    6    1    
VardasNR41       PavardeNR41        7    9    4    9    4    6    
VardasNR42       PavardeNR42        4    5    10   7    1    4    
VardasNR43       PavardeNR43        4    9    9    4    8    6    
VardasNR44       PavardeNR44        4    4    2    2    1    1    
VardasNR45       PavardeNR45        2    3    6    5    5    1    
VardasNR46       PavardeNR46        4    2    3    9    9    7    
VardasNR47       PavardeNR47        4    8    5    3    9    10   
VardasNR48       PavardeNR48        9    8    1    9    3    7    
VardasNR49       PavardeNR49        1    7    4    9    3    8    
VardasNR50       PavardeNR50        7    10   3    4    5    2    
VardasNR51       PavardeNR51        3    2    1    6    2    3    
VardasNR52       PavardeNR52        1    5    4    1    7    4    
VardasNR53       PavardeNR53        8    3    4    6    4    8    
VardasNR54       PavardeNR54        10   9    6    6    1    3    
VardasNR55       PavardeNR55        8    3    9    10   10   3    
VardasNR56       PavardeNR56        6    1    4    10   3    6    
VardasNR57       PavardeNR57        3    5    7    10   4    1    
VardasNR58       PavardeNR58        2    7    2    7    1    8    
VardasNR59       PavardeNR59        9    2    2    3    9    3    
VardasNR60       PavardeNR60        10   7    1    8    5    3    
VardasNR61       PavardeNR61        2    9    1    10   1    4    
VardasNR62       PavardeNR62        2    1    9    6    6    3    
VardasNR63       PavardeNR63        8    10   5    6    9    6    
VardasNR64       PavardeNR64        4    1    10   4    5    8    
VardasNR65       PavardeNR65        1    5    5    5    2    4    
VardasNR66       PavardeNR66        7    1    3    8    3    1    
VardasNR67       PavardeNR67        2    6    3    6    6    5    
VardasNR68       PavardeNR68        5    10   8    6    2    1    
VardasNR69       PavardeNR69        3    7    3    1    1    8    
VardasNR70       PavardeNR70        10   8    1    8    2    2    
VardasNR71       PavardeNR71        1    4    1    5    4    2    
VardasNR72       PavardeNR72        3    1    5    9    10   8    
VardasNR73       PavardeNR73        3    4    3    4    8    9    
VardasNR74       PavardeNR74        8    7    4    2    7    1    
VardasNR75       PavardeNR75        7    2    5    8    9    2    
VardasNR76       PavardeNR76        9    5    2    1    4    9    
VardasNR77       PavardeNR77        4    5    9    3    2    9    
VardasNR78       PavardeNR78        9    6    10   9    8    3    
VardasNR79       PavardeNR79        6    4    9    9    2    1    
VardasNR80       PavardeNR80        8    5    1    6    9    1    
VardasNR81       PavardeNR81        5    1    10   5    3    7    
VardasNR82       PavardeNR82        2    5    1    9    1    9    
VardasNR83       PavardeNR83        2    5    1    7    4    4    
VardasNR84       PavardeNR84        10   10   6    4    1    8    
VardasNR85       PavardeNR85        3    4    2    6    4    6    
